,Date,Stock,Open,High,Low,Close,Volume,Volatility
0,2024-01-25,IBM,184.96,196.9,184.83,190.43,29596239,12.07
1,2024-01-24,IBM,174.76,174.86,172.9,173.93,7831157,1.96
2,2024-01-23,IBM,172.9,174.02,172.48,173.94,3983461,1.54
3,2024-01-22,IBM,172.82,174.45,172.4,172.83,4925964,2.05
4,2024-01-19,IBM,170.59,171.5791,169.18,171.48,6929079,2.3991
5,2024-01-18,IBM,166.49,166.99,165.04,166.84,3776990,1.95
6,2024-01-17,IBM,166.79,167.82,165.495,166.08,4288604,2.325
7,2024-01-16,IBM,165.8,167.25,165.34,166.96,4869635,1.91
8,2024-01-12,IBM,162.97,165.98,162.355,165.8,4958261,3.625
9,2024-01-11,IBM,161.02,162.23,160.29,162.16,3778395,1.94
10,2024-01-10,IBM,160.28,161.34,159.74,161.23,2967852,1.6
11,2024-01-09,IBM,160.0,160.4837,159.51,160.08,2617186,0.9737
12,2024-01-08,IBM,158.69,161.216,157.885,161.14,3321698,3.331
13,2024-01-05,IBM,159.91,160.55,158.67,159.16,3698961,1.88
14,2024-01-04,IBM,160.22,161.81,160.17,160.86,3212004,1.64
15,2024-01-03,IBM,161.0,161.73,160.08,160.1,4086065,1.65
16,2024-01-02,IBM,162.83,163.29,160.46,161.5,3825044,2.83
17,2023-12-29,IBM,163.75,164.18,162.83,163.55,2526169,1.35
18,2023-12-28,IBM,163.96,163.96,163.4,163.75,2071313,0.56
19,2023-12-27,IBM,163.14,163.64,162.68,163.46,3006612,0.96
20,2023-12-26,IBM,162.23,163.31,162.05,163.21,1772443,1.26
21,2023-12-22,IBM,161.1,162.41,161.0,162.14,2442715,1.41
22,2023-12-21,IBM,160.59,161.08,159.53,160.78,2982924,1.55
23,2023-12-20,IBM,161.29,161.8,160.01,160.05,4865797,1.79
24,2023-12-19,IBM,161.8,162.28,161.32,161.56,3717429,0.96
25,2023-12-18,IBM,162.23,163.33,161.5766,162.74,3677533,1.7534
26,2023-12-15,IBM,162.3,164.09,162.04,162.23,11016108,2.05
