,Stock,RSI
2024-01-23,IBM,78.6388
2024-01-19,IBM,73.2534
2024-01-12,IBM,65.2728
2024-01-05,IBM,77.3710
2023-12-29,IBM,76.8103
2023-12-22,IBM,76.8103
2023-12-15,IBM,77.9840
2023-12-08,IBM,76.2493
2023-12-01,IBM,71.8171
2023-11-24,IBM,69.4134
2023-11-17,IBM,65.0297
2023-11-10,IBM,62.3616
2023-11-03,IBM,56.0619
2023-10-27,IBM,44.3642
2023-10-20,IBM,49.1185
2023-10-13,IBM,55.1841
2023-10-06,IBM,51.1186
2023-09-29,IBM,66.9004
2023-09-22,IBM,65.7339
2023-09-15,IBM,73.9420
2023-09-08,IBM,73.2329
2023-09-01,IBM,70.4960
2023-08-25,IBM,65.4168
2023-08-18,IBM,69.8372
2023-08-11,IBM,70.5750
2023-08-04,IBM,69.3517
2023-07-28,IBM,64.3525
2023-07-21,IBM,55.4153
2023-07-14,IBM,52.7916
2023-07-07,IBM,56.0785
2023-06-30,IBM,49.1628
2023-06-23,IBM,65.1241
2023-06-16,IBM,64.5897
2023-06-09,IBM,60.1986
2023-06-02,IBM,53.8288
2023-05-26,IBM,49.6308
2023-05-19,IBM,38.6671
2023-05-12,IBM,36.1297
2023-05-05,IBM,40.3344
2023-04-28,IBM,38.3395
2023-04-21,IBM,42.7627
2023-04-14,IBM,45.3846
2023-04-06,IBM,47.3305
2023-03-31,IBM,37.8658
2023-03-24,IBM,32.6364
2023-03-17,IBM,33.6269
2023-03-10,IBM,39.3764
2023-03-03,IBM,41.9345
2023-02-24,IBM,45.8174
2023-02-17,IBM,48.9817
2023-02-10,IBM,45.9137
2023-02-03,IBM,43.4107
2023-01-27,IBM,53.9452
2023-01-20,IBM,63.8297
2023-01-13,IBM,60.8177
2023-01-06,IBM,56.6836
2022-12-30,IBM,57.8449
2022-12-23,IBM,55.8146
2022-12-16,IBM,70.7841
2022-12-09,IBM,71.0528
2022-12-02,IBM,71.1338
2022-11-25,IBM,70.8118
2022-11-18,IBM,67.0247
2022-11-11,IBM,59.7540
2022-11-04,IBM,62.0229
2022-10-28,IBM,54.1167
2022-10-21,IBM,39.7752
2022-10-14,IBM,35.7852
2022-10-07,IBM,36.1823
2022-09-30,IBM,38.4006
2022-09-23,IBM,43.0519
2022-09-16,IBM,47.8304
2022-09-09,IBM,44.1549
2022-09-02,IBM,46.7192
2022-08-26,IBM,57.1709
2022-08-19,IBM,51.1487
2022-08-12,IBM,49.0381
2022-08-05,IBM,45.8552
2022-07-29,IBM,42.6885
2022-07-22,IBM,58.2246
2022-07-15,IBM,59.0003
2022-07-08,IBM,58.3090
2022-07-01,IBM,61.6024
2022-06-24,IBM,55.2902
2022-06-17,IBM,53.1885
2022-06-10,IBM,66.2788
2022-06-03,IBM,61.7886
2022-05-27,IBM,51.1286
2022-05-20,IBM,57.0564
2022-05-13,IBM,59.3083
2022-05-06,IBM,55.6756
2022-04-29,IBM,63.3063
2022-04-22,IBM,47.9269
2022-04-14,IBM,50.2555
2022-04-08,IBM,54.3201
2022-04-01,IBM,55.2958
2022-03-25,IBM,52.8168
2022-03-18,IBM,46.0902
2022-03-11,IBM,48.8742
2022-03-04,IBM,42.2538
2022-02-25,IBM,44.6866
2022-02-18,IBM,57.1784
2022-02-11,IBM,63.2311
2022-02-04,IBM,59.1882
2022-01-28,IBM,50.2503
2022-01-21,IBM,59.8408
2022-01-14,IBM,63.1658
2022-01-07,IBM,62.6746
2021-12-31,IBM,58.3786
2021-12-23,IBM,51.1572
2021-12-17,IBM,47.9102
2021-12-10,IBM,39.9131
2021-12-03,IBM,38.3902
2021-11-26,IBM,33.2779
2021-11-19,IBM,37.0126
2021-11-12,IBM,40.2077
2021-11-05,IBM,31.8959
2021-10-29,IBM,34.1824
2021-10-22,IBM,59.8105
2021-10-15,IBM,58.9700
2021-10-08,IBM,57.7616
2021-10-01,IBM,49.3111
2021-09-24,IBM,40.1592
2021-09-17,IBM,48.9809
2021-09-10,IBM,51.8272
2021-09-03,IBM,51.5229
2021-08-27,IBM,51.7583
2021-08-20,IBM,59.0628
2021-08-13,IBM,57.5235
2021-08-06,IBM,53.9308
2021-07-30,IBM,53.8430
2021-07-23,IBM,46.2526
2021-07-16,IBM,54.3637
2021-07-09,IBM,52.1814
2021-07-02,IBM,66.0366
2021-06-25,IBM,62.3166
2021-06-18,IBM,80.3412
2021-06-11,IBM,77.5421
2021-06-04,IBM,74.9519
2021-05-28,IBM,75.1354
2021-05-21,IBM,74.5561
2021-05-14,IBM,78.1510
2021-05-07,IBM,75.3214
2021-04-30,IBM,74.1698
2021-04-23,IBM,64.7851
2021-04-16,IBM,68.3852
2021-04-09,IBM,66.7701
2021-04-01,IBM,72.4159
2021-03-26,IBM,63.5488
2021-03-19,IBM,62.4897
2021-03-12,IBM,54.7400
2021-03-05,IBM,49.5600
2021-02-26,IBM,45.6360
2021-02-19,IBM,48.6756
2021-02-12,IBM,50.2354
2021-02-05,IBM,45.2788
2021-01-29,IBM,43.1473
2021-01-22,IBM,63.8378
2021-01-15,IBM,61.7504
2021-01-08,IBM,58.3323
2020-12-31,IBM,57.1001
2020-12-24,IBM,55.3079
2020-12-18,IBM,57.9091
2020-12-11,IBM,60.1143
2020-12-04,IBM,57.1117
2020-11-27,IBM,47.1113
2020-11-20,IBM,48.4372
2020-11-13,IBM,47.7989
2020-11-06,IBM,36.3163
2020-10-30,IBM,38.2960
2020-10-23,IBM,57.7290
2020-10-16,IBM,60.5738
2020-10-09,IBM,49.6111
2020-10-02,IBM,46.9024
2020-09-25,IBM,46.7197
2020-09-18,IBM,49.9505
2020-09-11,IBM,49.6169
2020-09-04,IBM,54.6849
2020-08-28,IBM,52.6272
2020-08-21,IBM,54.8696
2020-08-14,IBM,55.1157
2020-08-07,IBM,51.0344
2020-07-31,IBM,52.6833
2020-07-24,IBM,54.0825
2020-07-17,IBM,47.5676
2020-07-10,IBM,49.0308
2020-07-02,IBM,45.6859
2020-06-26,IBM,49.3783
2020-06-19,IBM,46.6308
2020-06-12,IBM,59.6347
2020-06-05,IBM,52.7113
2020-05-29,IBM,49.2843
2020-05-22,IBM,47.8379
2020-05-15,IBM,49.5672
2020-05-08,IBM,47.2621
2020-05-01,IBM,51.0500
2020-04-24,IBM,45.7590
2020-04-17,IBM,47.5486
2020-04-09,IBM,37.5508
2020-04-03,IBM,35.3280
2020-03-27,IBM,20.0379
2020-03-20,IBM,21.1734
2020-03-13,IBM,31.7162
2020-03-06,IBM,40.3595
2020-02-28,IBM,61.3225
2020-02-21,IBM,70.9384
2020-02-14,IBM,79.2480
2020-02-07,IBM,68.6022
2020-01-31,IBM,57.7495
2020-01-24,IBM,56.1112
2020-01-17,IBM,50.2479
2020-01-10,IBM,44.3300
2020-01-03,IBM,48.8486
2019-12-27,IBM,50.3537
2019-12-20,IBM,48.2763
2019-12-13,IBM,44.3063
2019-12-06,IBM,46.5300
2019-11-29,IBM,46.5683
2019-11-22,IBM,46.2302
2019-11-15,IBM,51.2047
2019-11-08,IBM,46.6738
2019-11-01,IBM,46.2551
2019-10-25,IBM,40.2952
2019-10-18,IBM,56.4021
2019-10-11,IBM,56.3211
2019-10-04,IBM,59.2329
2019-09-27,IBM,55.6688
2019-09-20,IBM,58.1361
2019-09-13,IBM,55.5887
2019-09-06,IBM,47.1567
2019-08-30,IBM,40.4163
2019-08-23,IBM,45.7045
2019-08-16,IBM,46.8276
2019-08-09,IBM,59.8245
2019-08-02,IBM,74.5519
2019-07-26,IBM,73.6471
2019-07-19,IBM,65.1003
2019-07-12,IBM,62.3164
2019-07-05,IBM,60.0567
2019-06-28,IBM,59.4530
2019-06-21,IBM,53.4178
2019-06-14,IBM,51.7027
2019-06-07,IBM,36.5470
2019-05-31,IBM,45.4075
2019-05-24,IBM,48.3435
2019-05-17,IBM,47.8011
2019-05-10,IBM,54.8132
2019-05-03,IBM,56.6702
2019-04-26,IBM,57.2245
2019-04-18,IBM,68.3154
2019-04-12,IBM,66.7061
2019-04-05,IBM,64.9531
2019-03-29,IBM,62.0340
2019-03-22,IBM,63.5307
2019-03-15,IBM,59.1534
2019-03-08,IBM,66.6572
2019-03-01,IBM,66.6764
2019-02-22,IBM,64.6681
2019-02-15,IBM,61.2937
2019-02-08,IBM,59.4817
2019-02-01,IBM,58.6159
2019-01-25,IBM,47.9552
2019-01-18,IBM,44.2773
2019-01-11,IBM,40.1721
2019-01-04,IBM,34.1205
2018-12-28,IBM,28.7882
2018-12-21,IBM,35.7508
2018-12-14,IBM,36.3285
2018-12-07,IBM,41.6961
2018-11-30,IBM,30.2837
2018-11-23,IBM,32.8696
2018-11-16,IBM,34.3854
2018-11-09,IBM,18.3268
2018-11-02,IBM,19.9106
2018-10-26,IBM,26.4005
2018-10-19,IBM,38.2283
2018-10-12,IBM,54.8592
2018-10-05,IBM,64.9053
2018-09-28,IBM,63.7706
2018-09-21,IBM,58.5053
2018-09-14,IBM,54.3775
2018-09-07,IBM,52.9583
2018-08-31,IBM,55.3580
2018-08-24,IBM,54.2502
2018-08-17,IBM,49.8917
2018-08-10,IBM,52.3661
2018-08-03,IBM,48.3588
2018-07-27,IBM,51.1509
2018-07-20,IBM,50.0113
2018-07-13,IBM,44.7578
2018-07-06,IBM,36.3309
2018-06-29,IBM,38.9620
2018-06-22,IBM,44.0854
2018-06-15,IBM,47.7318
2018-06-08,IBM,39.7972
2018-06-01,IBM,40.0888
2018-05-25,IBM,43.0779
2018-05-18,IBM,42.3100
2018-05-11,IBM,39.1746
2018-05-04,IBM,42.0281
2018-04-27,IBM,39.4899
2018-04-20,IBM,54.7758
2018-04-13,IBM,45.7488
2018-04-06,IBM,47.8891
2018-03-29,IBM,44.6667
2018-03-23,IBM,57.4193
2018-03-16,IBM,57.3290
2018-03-09,IBM,49.7692
2018-03-02,IBM,52.3235
2018-02-23,IBM,52.2974
2018-02-16,IBM,45.7709
2018-02-09,IBM,52.9764
2018-02-02,IBM,70.4702
2018-01-26,IBM,63.7822
